Sunawarshi,SWR,
Garuda,GRU,
Tansen,TNS,
Mirchaiya,MRC,
Simraungadh,SRG,
Manara Shiswa,MSW,
Bedkot,BDK,
Kalyanpur,KYP,
Gorkha,GRK,
Phidim,PHD,
Chaudandigadhi,CDG,
Ilam,ILM,
Shuklagandaki,SKG,
Godaita,GDT,
Lamahi,LMI,
Dhangadhimai,DGM,
Rupakot,RPK,
Majhuwagadhi,MWG,
Shuklaphanta,SKP,
Bhangaha,BNG,
Panauti,PNT,
Gujara,GJR,
Malangwa,MLG,
Chautara,CHT,
Sangachokgadhi,SCG,
Madhuwan,MDW,
Sabaila,SBL,
Bhanu,BHN,
Hanumannagar,HMN,
Kankalini,KKL,
Dhanusahdham,DND,
Manthali,MTH,
Khadak,KDK,
Melamchi,MLC,
Balara,BLR,
Mithila Bihari,MBR,
Putalibazar,PTB,
Dakneshwari,DKS,
Thakurbaba,TKB,
Surunga,SRU,
Hariwan,HRW,
Burbhakot,BBK,
Sitganga,SGN,
Bodebarsain,BBS,
Kolhabi,KHB,
Shahidnagar,SHN,
Brindaban,BRD,
Devchuli,DVC,
Chhireshwarnath,CSW,
Belaka,BLK,
Balawa,BLW,
Kabilasi,KBS,
Kalika,KLK,
Thaha,THA,
Dullu,DLU,
Ishnath,INT,
Bheriganga,BGN,
Sandhikharka,SDK,
Rajpur,RJP,
Gadhimai,GDM,
Bagmati,BGM,
Kankai,KNK,
Belkotgadhi,BKG,
Bhaudarmai,BDM,
Kushma,KSM,
Loharpatti,LHP,
Besisahar,BSS,
Mahakali,MHK,
Purchaudi,PCD,
Hansapur,HSP,
Kamalamai,KMM,
Pyuthan,PYU,
Katahariya,KTY,
Palungtar,PGT,
Parsagadhi,PRG,
Shambhunath,SBN,
Panchkhal,PCK,
Madi,MDI,
Sukhipur,SKI,
Paroha,PRH,
Haripur,HRP,
Ganeshman Charnath,GMC,
Galyang,GLY,
Dhankuta,DKT,
Phatuwa,PTU,
Bijayapur,BJY,
Baudhimai,BDH,
Bangad,BGD,
Kupinde,KPD,
Haripurwa,HPR,
Rampur,RMP,
Chhedagad,CHD,
Kanchanrup,KNR,
Parshuram,PRS,
Nagaain,NGN,
Dasharathchanda,DRC,
Nijgadh,NJD,
Madhav Narayan,MDN,
Gaur,GUR,
Pacharauta,PHR,
Bagchaur,BGC,
Sanphebagar,SPB,
Shaarda,SRD,
Aathabiskot,ABK,
Bheri,BHR,
Beni,BNI,
Bungal,BGL,
Galkot,GKT,
Dipayal,DPY,
Silgadhi,SGD,
Musikot,MSK,
Deumai,DUM,
Pokhariya,PKH,
Rolpa,RPA,
Mandandeupur,MDP,
Bhumikasthan,BKS,
Mai,MAI,
Resunga,RUG,
Mangalsen,MGS,
Bideha,BDE,
Panchapuri,PCP,
Dhulikhel,DKH,
Dewahi,DWH,
Gonahi,GNH,
Letang,LTG,
Bhogateni,BGT,
Shikhar,SKR,
Aurahi,ARH,
Shadanand,SDD,
Bhimeshwar,BMS,
Jaimini,JMN,
Bhimad,BMD,
Rajdev,RDV,
Khandbari,KDB,
Dhunibeshi,DNB,
Matihani,MIH,
Karjanha,KJH,
Swargadwari,SWD,
Patan,PTN,
Lekbeshi,LKB,
Ramgopalpur,RGP,
Haleshi,HLS,
Tuwachung,TWC,
Namobuddha,NBD,
Aathabiskot,ATB,
Ramechhap,RCH,
Siddhicharan,RDC,
Panchadewal,PDE,
Binayak,BYK,
Chaurjahari,CJH,
Chainpur,CHP,
Bhojpur,BHP,
Narayan,NRN,
Sundarbazar,SDB,
Barhabise,BRB,
Maulapur,MLP,
Phungling,PGL,
Dhorpatan,DRP,
Chamunda,CMD,
Bindrasaini,BDS,
Chapakot,CPK,
Nalgad,NGD,
Bhirkot,BKT,
Shankarapur,SAP,
Mahalaxmi,MLX,
Phalewas,PLW,
Dakshinkali,DKL,
Kamalbazar,KMB,
Madhya Nepal,MYN,
Malauli,MLI,
Jaya Prithvi,JPR,
Pakhribas,PKB,
Shailyashikhar,SYS,
Budhiganga,BGA,
Amargadhi,ARG,
Mahakali,MKL,
Saptakoshi,STK,
Solu,SOL,
Dudhkunda,DDK,
Khandachakra,KDC,
Chhayanath,CYN,
Rara,RAR,
Myanglung,MYL,
Chandannath,CDN,
Budhinanda,BND,
Rainas,RIN,
Tribeni,TBN,
Dharmadevi,DMD,
Panchkhapan,PKP,
Laligurans,LGR,
Badimalika,BMK,
Raskot,RSK,
Tilagupha,TGP,
Jiri,JIR,
Madi,MAD,
Tripura,TRP,
Sundari,SDR,
Thuli Bheri,TBR,
,,
